x nProc snes-niter algebraic-newton-initial-guess algebraic-jacobian algebraic-residual algebraic-nlsolve solve initMesh createExporters graph matrixVector algebraicOthers init exportResults
0 1 5 8.5572370300e-01 2.8415422600e+03 1.2688440400e+03 1.2932284300e+04 1.2932695500e+04 4.8181386400e+01 4.4126717600e+00 2.2754197200e+02 2.1171819200e+01 3.6198000000e-05 3.6993006800e+02 1.0432355300e+02
1 2 5 1.1789050900e+00 1.6289574600e+03 6.3663896800e+02 7.2005328500e+03 7.2008993700e+03 3.6329771000e+01 2.4044482600e+00 4.1184161000e+02 1.3790979500e+01 4.6767999900e-05 5.1411211300e+02 9.5245434700e+01
2 4 5 6.5231492100e-01 8.0029810100e+02 3.1614092700e+02 4.4523783900e+03 4.4526153500e+03 2.3077745500e+01 1.2222734900e+00 1.8157338400e+02 7.2932276300e+00 3.2842000000e-05 2.3763589000e+02 4.7234174000e+01
3 8 5 3.5690192400e-01 3.9603225500e+02 1.6635196200e+02 3.5116281400e+03 3.5117330300e+03 1.2802605900e+01 6.2928266300e-01 9.3319453100e+01 4.3768954500e+00 3.7641000000e-05 1.2364950800e+02 1.9705699100e+01
4 16 5 2.1656393800e-01 2.3159759400e+02 9.7366045800e+01 1.8922871100e+03 1.8923486300e+03 7.7180356300e+00 3.6955078700e-01 5.2242086600e+01 2.5493710500e+00 4.0867000000e-05 6.9905182300e+01 1.1726561100e+01
5 32 5 1.3602161100e-01 1.3968685400e+02 5.3033316500e+01 1.1018268700e+03 1.1018676100e+03 5.1272856900e+00 2.0731300300e-01 2.4397212400e+01 1.3997793800e+00 4.7650000000e-05 3.4910967600e+01 6.8253637600e+00
6 64 5 3.8599662500e-01 9.3636244900e+01 3.3196533200e+01 8.6537564000e+02 8.6556683900e+02 5.6824842000e+00 1.2720604500e-01 1.3362342500e+01 1.3812117800e+00 1.0072000000e-04 2.3811849800e+01 7.1705104300e+00
7 128 5 1.3308907600e-01 5.4782262400e+01 2.1508311000e+01 4.0141182800e+02 4.0148978200e+02 8.0578149100e+00 7.8796834000e-02 5.7696591000e+00 6.2952572200e-01 3.7090000000e-05 1.6555693600e+01 5.0762797000e+00
8 256 5 3.4228249000e-02 3.3897457300e+01 9.4967658500e+00 2.8289624400e+02 2.8290105000e+02 4.6922366900e+00 6.8024454000e-02 3.5754825700e+00 7.5132016800e-01 1.4197700000e-04 9.7799898400e+00 7.2673011400e+00
9 512 5 2.5240257500e-01 2.1580793900e+01 5.9640738400e+00 1.6194049800e+02 1.6194828600e+02 7.0178650400e+00 5.9698545000e-02 2.7453203900e+00 6.8205018200e-01 9.3886000000e-05 1.1263374300e+01 9.7943683600e+00
10 640 5 2.9664943500e-01 2.0589903900e+01 5.1002338700e+00 1.2667439800e+02 1.2667974000e+02 7.6339394200e+00 5.6030996000e-02 2.8737287900e+00 1.8356951000e-01 1.5342900000e-04 1.1318939900e+01 9.0236068400e+00
